ANIO;MES;CONSUMO_TOTAL_KWH;CONSUMO_KWH
2022;1;3092593.6507;
2022;11;2940500.0;
2022;12;2932753.8061;
2023;1;2931492.501;
2023;2;2688253.7464;
2023;3;2923962.0078000003;
2023;4;2903468.9092;
2023;5;2996436.9836;
2023;6;2857667.4035;
2023;7;2991754.2298;
2023;8;3042737.995;
2023;9;2915448.0956;
2023;10;3046381.9393;
2023;11;2970153.7121;
2023;12;2985774.4955;
2024;2;2888924.4859;
2024;3;3039616.0392;
2024;4;3054283.5255000005;
2024;5;1904174.3599999999;
