ANIO;MES;CONSUMO_TOTAL_KWH;CONSUMO_KWH
2022;1;68163.5901;
2022;11;62002.0;
2022;12;63581.9099;
2023;1;62903.5959;
2023;2;59915.8722;
2023;3;64432.2016;
2023;4;63518.2554;
2023;5;72996.6858;
2023;6;71382.9834;
2023;7;70534.57019999999;
2023;8;71119.897;
2023;9;69217.16269999999;
2023;10;73599.6415;
2023;11;69405.3426;
2023;12;68178.72379999999;
2024;2;65178.0775;
2024;3;68992.18729999999;
2024;4;73014.083;
2024;5;35797.0;
2025;2;72876.0312;
2025;3;82510.3677;
