ANIO;MES;CONSUMO_TOTAL_KWH;CONSUMO_KWH
2022;1;7343.653;
2022;11;7504.0;
2022;12;5704.58;
2023;1;5562.896000000001;
2023;2;5312.372;
2023;3;6487.058;
2023;4;6067.56;
2023;5;6795.6900000000005;
2023;6;6956.854;
2023;7;7606.788;
2023;8;8163.858999999999;
2023;9;7799.139;
2023;10;8946.77;
2023;11;8249.992;
2023;12;8650.909;
2024;2;7168.93;
2024;3;6803.304;
2024;4;6931.839;
2024;5;4525.0;
2025;2;4851.773999999999;
2025;3;6433.558;
