ANIO;MES;CONSUMO_TOTAL_KWH;CONSUMO_KWH
2022;1;15644.8245;
2022;11;13768.0;
2022;12;13268.7245;
2023;1;12568.1875;
2023;2;11865.1055;
2023;3;13773.934;
2023;4;13350.05;
2023;5;14300.08;
2023;6;14979.2225;
2023;7;15323.4595;
2023;8;15685.1385;
2023;9;14387.882500000002;
2023;10;15521.203;
2023;11;15062.545000000002;
2023;12;15576.7305;
2024;2;14270.9025;
2024;3;14696.567;
2024;4;14519.1365;
2024;5;8333.0;
2025;2;12583.876;
2025;3;13185.6175;
